team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TOR,2008,TOR,2008020005,TOR,DET,AWAY,20081009,Team Level,other,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544,0.191,0.07,0.084,0.039,0.556,0.125,0.191,0.191,0.191,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.065,0.125,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.018,0.0,0.0,0.143,0.143,0.143
TOR,2008,TOR,2008020005,TOR,DET,AWAY,20081009,Team Level,all,0.5546,0.4118,0.4024,3600.0,25.436,3.232,1.554,5.442,0.793,12.26,9.72,3.187,3.454,3.406,29.0,4.0,9.0,42.0,3.0,1.0,1.0,9.0,0.0,5.0,15.0,26.0,30.0,3.0,6.0,21.0,17.0,6.0,5.0,21.0,7.0,5.0,0.695,0.804,1.732,0.0,0.0,3.0,44.951,33.0,35.234,1.0,0.338,0.34,0.34,3.23,3.436,3.42,34.598,2.596,2.225,8.083,1.133,19.544,14.485,2.499,2.483,2.388,37.0,12.0,11.0,60.0,2.0,1.0,1.0,8.0,0.0,15.0,23.0,35.0,47.0,2.0,4.0,38.0,19.0,6.0,19.0,42.0,5.0,2.0,1.51,0.529,0.556,0.0,1.0,1.0,56.641,49.0,46.445,13.0,0.472,0.337,0.337,2.666,2.53,2.484
TOR,2008,TOR,2008020005,TOR,DET,AWAY,20081009,Team Level,5on5,0.6004,0.4318,0.4143,3197.0,22.253,2.592,1.339,4.793,0.692,10.704,8.879,2.548,2.815,2.766,25.0,4.0,9.0,38.0,2.0,1.0,1.0,7.0,0.0,5.0,14.0,23.0,27.0,3.0,6.0,14.0,15.0,6.0,4.0,18.0,7.0,4.0,0.665,0.804,1.123,0.0,0.0,2.0,40.951,29.0,31.234,0.0,0.28,0.34,0.34,2.533,2.739,2.723,29.569,1.725,1.769,7.161,0.933,16.592,12.819,1.697,1.613,1.586,31.0,10.0,9.0,50.0,1.0,0.0,0.0,6.0,0.0,13.0,21.0,30.0,40.0,2.0,4.0,34.0,19.0,6.0,17.0,37.0,3.0,1.0,1.21,0.295,0.22,0.0,1.0,0.0,46.641,41.0,38.445,11.0,0.359,0.0,0.0,2.084,1.948,1.916
TOR,2008,TOR,2008020005,TOR,DET,AWAY,20081009,Team Level,4on5,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.739,0.636,0.351,0.729,0.142,2.139,1.003,0.568,0.636,0.568,4.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.191,0.109,0.337,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.087,0.337,0.337,0.387,0.387,0.372
TOR,2008,TOR,2008020005,TOR,DET,AWAY,20081009,Team Level,5on4,0.9356,0.8,0.8,196.0,3.183,0.639,0.214,0.649,0.101,1.556,0.841,0.639,0.639,0.639,4.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.03,0.0,0.609,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.058,0.0,0.0,0.697,0.697,0.697,0.745,0.044,0.034,0.109,0.019,0.257,0.538,0.044,0.044,0.044,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.008,0.0,0.0,0.051,0.051,0.051
TOR,2008,TOR,2008020016,TOR,MTL,HOME,20081011,Team Level,other,1.0,0.8,1.0,174.0,2.106,0.505,0.218,0.399,0.083,1.352,0.443,0.449,0.505,0.449,2.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.065,0.082,0.358,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.068,0.0,0.358,0.214,0.214,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR,2008,TOR,2008020016,TOR,MTL,HOME,20081011,Team Level,all,0.2831,0.418,0.4516,3600.0,29.034,2.561,1.986,6.625,0.945,17.677,12.206,2.436,2.415,2.293,25.0,17.0,9.0,51.0,1.0,1.0,1.0,10.0,1.0,16.0,13.0,24.0,41.0,9.0,23.0,29.0,28.0,6.0,16.0,33.0,6.0,3.0,1.075,0.652,0.834,0.0,0.0,1.0,46.822,42.0,38.96,8.0,0.443,0.234,0.834,2.17,2.026,1.961,37.36,6.484,2.478,7.127,1.076,20.408,13.427,5.32,6.644,5.48,34.0,17.0,20.0,71.0,6.0,1.0,1.0,8.0,0.0,20.0,16.0,28.0,45.0,6.0,15.0,40.0,35.0,4.0,10.0,37.0,4.0,10.0,0.86,0.566,5.057,3.0,0.0,3.0,76.064,51.0,53.899,5.0,0.65,0.899,0.899,6.236,6.422,5.931
TOR,2008,TOR,2008020016,TOR,MTL,HOME,20081011,Team Level,5on5,0.5369,0.5,0.5614,2559.0,22.051,1.535,1.386,5.227,0.707,13.35,9.795,1.507,1.389,1.364,19.0,13.0,6.0,38.0,0.0,0.0,0.0,9.0,0.0,12.0,11.0,19.0,32.0,8.0,21.0,17.0,24.0,5.0,11.0,27.0,4.0,1.0,0.806,0.487,0.242,0.0,0.0,0.0,33.822,32.0,28.96,5.0,0.283,0.0,0.242,1.576,1.432,1.421,17.643,1.324,1.148,3.944,0.524,10.404,7.656,1.315,1.484,1.475,19.0,6.0,13.0,38.0,3.0,0.0,0.0,6.0,0.0,8.0,8.0,16.0,22.0,5.0,13.0,29.0,28.0,4.0,8.0,21.0,3.0,1.0,0.702,0.395,0.227,3.0,0.0,0.0,43.064,25.0,27.899,4.0,0.235,0.0,0.0,1.559,1.745,1.732
TOR,2008,TOR,2008020016,TOR,MTL,HOME,20081011,Team Level,4on5,0.0052,0.0606,0.0385,548.0,0.683,0.026,0.017,0.11,0.018,0.227,0.601,0.026,0.026,0.026,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,2.0,1.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.004,0.0,0.0,0.03,0.03,0.03,18.913,4.988,1.289,3.099,0.528,9.781,5.316,3.834,4.988,3.834,14.0,11.0,6.0,31.0,3.0,1.0,1.0,2.0,0.0,12.0,7.0,11.0,22.0,0.0,0.0,8.0,2.0,0.0,1.0,16.0,0.0,9.0,0.158,0.0,4.83,0.0,0.0,3.0,31.0,25.0,25.0,1.0,0.407,0.899,0.899,4.497,4.497,4.019
TOR,2008,TOR,2008020016,TOR,MTL,HOME,20081011,Team Level,5on4,0.7432,0.875,0.8571,319.0,4.194,0.495,0.364,0.888,0.136,2.749,1.368,0.454,0.495,0.454,3.0,3.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,1.0,1.0,0.178,0.083,0.234,0.0,0.0,1.0,7.0,6.0,6.0,0.0,0.088,0.234,0.234,0.35,0.35,0.338,0.804,0.171,0.041,0.085,0.025,0.223,0.454,0.171,0.171,0.171,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.171,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.009,0.0,0.0,0.18,0.18,0.18
