playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8479318,2016,Auston Matthews,2016020001,TOR,OTT,AWAY,20161012,C,other,55.0,1.0,4.84,0.7031,0.0,0.3333,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,65.0,0.0,0.0,0.0,0.0,0.737,0.09,0.09,0.09,0.09,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.011,0.0,0.0,0.101,0.101,0.101,0.689,0.038,0.038,0.038,0.038,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.038,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.008,0.0,0.0,0.046,0.046,0.046,0.0,0.176,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8479318,2016,Auston Matthews,2016020001,TOR,OTT,AWAY,20161012,C,all,1057.0,25.0,4.84,0.7957,0.3728,0.725,0.5652,0.7667,0.4853,1.0,4.558,0.516,0.385,0.945,0.145,2.228,1.78,0.503,0.564,0.55,0.0,0.0,6.0,0.0,1.0,7.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,1.0,1.0,0.12,0.191,0.205,2.0,1.0,1.0,7.476,6.0,6.432,0.0,0.082,0.0,0.191,0.407,0.443,0.44,25.0,9.0,4.0,2.0,10.0,4.0,1.0,6.0,14.0,6.0,7.0,2580.0,0.0,0.0,0.0,0.0,16.567,1.118,1.09,1.202,1.172,16.0,7.0,6.0,29.0,4.0,2.0,1.0,18.0,4.0,1.0,0.36,0.553,0.205,2.0,1.0,1.0,30.691,23.0,24.318,0.248,0.221,0.221,1.145,1.222,1.2,4.689,0.287,0.285,0.279,0.277,4.0,3.0,4.0,11.0,1.0,0.0,0.0,6.0,1.0,0.0,0.2,0.087,0.0,1.0,0.0,0.0,10.705,7.0,6.801,0.067,0.0,0.0,0.353,0.343,0.341,1.082,1.82,52.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8479318,2016,Auston Matthews,2016020001,TOR,OTT,AWAY,20161012,C,5on5,781.0,20.0,4.84,0.8608,0.4493,0.75,0.6111,0.7826,0.5094,3.0,3.852,0.511,0.327,0.775,0.121,1.915,1.351,0.498,0.559,0.545,0.0,0.0,5.0,0.0,1.0,6.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,1.0,1.0,0.115,0.191,0.205,2.0,1.0,1.0,6.476,5.0,5.432,0.0,0.07,0.0,0.191,0.39,0.426,0.423,20.0,6.0,4.0,2.0,8.0,4.0,1.0,6.0,9.0,4.0,6.0,2016.0,0.0,0.0,0.0,0.0,13.067,1.002,0.976,1.086,1.057,13.0,5.0,6.0,24.0,4.0,2.0,1.0,14.0,3.0,1.0,0.334,0.463,0.205,2.0,1.0,1.0,25.691,18.0,19.318,0.185,0.221,0.221,0.966,1.043,1.024,3.262,0.162,0.16,0.154,0.152,2.0,3.0,3.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.162,0.0,0.0,0.0,0.0,0.0,7.705,5.0,4.801,0.048,0.0,0.0,0.21,0.199,0.197,1.033,1.266,44.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8479318,2016,Auston Matthews,2016020001,TOR,OTT,AWAY,20161012,C,4on5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8479318,2016,Auston Matthews,2016020001,TOR,OTT,AWAY,20161012,C,5on4,221.0,4.0,4.84,0.2232,1.0,0.8,0.8889,0.8,1.0,5.0,0.706,0.005,0.059,0.171,0.024,0.312,0.429,0.005,0.005,0.005,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.012,0.0,0.0,0.017,0.017,0.017,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,259.0,0.0,0.0,0.0,0.0,2.763,0.025,0.024,0.025,0.024,3.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.053,0.0,0.0,0.078,0.078,0.075,0.739,0.087,0.087,0.087,0.087,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.011,0.0,0.0,0.098,0.098,0.098,0.049,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8479318,2016,Auston Matthews,2016020017,TOR,BOS,HOME,20161015,C,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8479318,2016,Auston Matthews,2016020017,TOR,BOS,HOME,20161015,C,all,1011.0,19.0,-0.07,0.5726,0.6264,0.4483,0.4684,0.4211,0.5,2.0,1.645,0.36,0.092,0.438,0.057,0.636,0.417,0.328,0.365,0.332,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0.012,0.0,0.348,0.0,0.0,0.0,2.148,2.0,2.101,1.0,0.02,0.0,0.348,0.032,0.032,0.031,19.0,3.0,0.0,3.0,13.0,2.0,2.0,0.0,15.0,3.0,5.0,2589.0,0.0,0.0,0.0,1.0,5.991,0.694,0.66,0.701,0.667,6.0,2.0,5.0,13.0,0.0,0.0,0.0,6.0,1.0,1.0,0.254,0.092,0.348,0.0,0.0,0.0,13.84,8.0,8.252,0.082,0.0,0.348,0.428,0.431,0.428,8.2,0.518,0.507,0.511,0.5,8.0,3.0,5.0,16.0,0.0,0.0,0.0,9.0,2.0,0.0,0.301,0.217,0.0,0.0,0.0,0.0,14.995,11.0,10.665,0.097,0.0,0.0,0.615,0.606,0.593,2.602,1.552,37.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8479318,2016,Auston Matthews,2016020017,TOR,BOS,HOME,20161015,C,5on5,820.0,16.0,-0.07,0.5277,0.6989,0.3913,0.4688,0.3571,0.4783,1.0,1.645,0.36,0.092,0.438,0.057,0.636,0.417,0.328,0.365,0.332,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0.012,0.0,0.348,0.0,0.0,0.0,2.148,2.0,2.101,1.0,0.02,0.0,0.348,0.032,0.032,0.031,16.0,2.0,0.0,3.0,11.0,2.0,2.0,0.0,12.0,3.0,4.0,1933.0,0.0,0.0,0.0,1.0,3.816,0.552,0.52,0.56,0.527,4.0,1.0,4.0,9.0,0.0,0.0,0.0,3.0,1.0,1.0,0.112,0.092,0.348,0.0,0.0,0.0,9.84,5.0,5.252,0.048,0.0,0.348,0.253,0.256,0.255,6.622,0.494,0.483,0.486,0.476,6.0,3.0,5.0,14.0,0.0,0.0,0.0,7.0,2.0,0.0,0.277,0.217,0.0,0.0,0.0,0.0,12.995,9.0,8.665,0.089,0.0,0.0,0.584,0.575,0.562,2.019,0.87,30.0,34.0,0.0,0.035,0.0,1.0,0.0,1.0
8479318,2016,Auston Matthews,2016020017,TOR,BOS,HOME,20161015,C,4on5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8479318,2016,Auston Matthews,2016020017,TOR,BOS,HOME,20161015,C,5on4,191.0,3.0,-0.07,0.8545,0.8384,0.6667,0.8,0.6,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,2.175,0.141,0.14,0.141,0.14,2.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.033,0.0,0.0,0.175,0.175,0.173,1.578,0.024,0.024,0.024,0.024,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.007,0.0,0.0,0.031,0.031,0.031,0.467,0.09,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
